339.94,337.22,341.91,337.93,-2.82
340.08,339.94,337.22,341.91,-2.16
344.34,340.08,339.94,337.22,-1.64
335.12,344.34,340.08,339.94,-0.77
329.11,335.12,344.34,340.08,-1.17
338.39,329.11,335.12,344.34,-2.09
352.00,338.39,329.11,335.12,-1.64
354.64,352.00,338.39,329.11,0.22
354.58,354.64,352.00,338.39,1.80
363.16,354.58,354.64,352.00,2.84
358.71,363.16,354.58,354.64,4.44
362.91,358.71,363.16,354.58,4.94
355.43,362.91,358.71,363.16,5.63
358.02,355.43,362.91,358.71,5.14
358.42,358.02,355.43,362.91,4.96
367.31,358.42,358.02,355.43,4.76
361.61,367.31,358.42,358.02,5.49
353.44,361.61,367.31,358.42,5.23
344.86,353.44,361.61,367.31,4.01
335.52,344.86,353.44,361.61,2.11
327.83,335.52,344.86,353.44,-0.29
311.51,327.83,335.52,344.86,-2.79
322.56,311.51,327.83,335.52,-6.27
323.40,322.56,311.51,327.83,-7.29
316.83,323.40,322.56,311.51,-7.72
311.32,316.83,323.40,322.56,-8.56
306.05,311.32,316.83,323.40,-9.54
311.50,306.05,311.32,316.83,-10.57
300.03,311.50,306.05,311.32,-10.42
312.48,300.03,311.50,306.05,-11.33
304.71,312.48,300.03,311.50,-10.29
311.85,304.71,312.48,300.03,-10.19
313.74,311.85,304.71,312.48,-9.07
317.02,313.74,311.85,304.71,-7.86
315.10,317.02,313.74,311.85,-6.47
322.22,315.10,317.02,313.74,-5.56
327.75,322.22,315.10,317.02,-4.00
326.82,327.75,322.22,315.10,-2.21
331.75,326.82,327.75,322.22,-1.02
328.72,331.75,326.82,327.75,0.37
321.00,328.72,331.75,326.82,0.99
315.23,321.00,328.72,331.75,0.54
332.23,315.23,321.00,328.72,-0.43
336.07,332.23,315.23,321.00,0.80
343.05,336.07,332.23,315.23,2.05
359.35,343.05,336.07,332.23,3.65
364.22,359.35,343.05,336.07,6.47
365.65,364.22,359.35,343.05,8.80
370.47,365.65,364.22,359.35,10.36
374.95,370.47,365.65,364.22,11.71
373.59,374.95,370.47,365.65,12.86
367.48,373.59,374.95,370.47,13.18
375.22,367.48,373.59,374.95,12.40
375.36,375.22,367.48,373.59,12.41
380.40,375.36,375.22,367.48,12.13
384.20,380.40,375.36,375.22,12.20
379.02,384.20,380.40,375.36,12.37
380.52,379.02,384.20,380.40,11.60
383.25,380.52,379.02,384.20,10.95
372.19,383.25,380.52,379.02,10.53
374.96,372.19,383.25,380.52,8.76
389.83,374.96,372.19,383.25,7.62
379.43,389.83,374.96,372.19,8.30
382.29,379.43,389.83,374.96,7.41
377.75,382.29,379.43,389.83,6.93
371.16,377.75,382.29,379.43,5.92
377.94,371.16,377.75,382.29,4.34
382.39,377.94,371.16,377.75,3.90
382.88,382.39,377.94,371.16,3.99
383.15,382.88,382.39,377.94,4.01
385.06,383.15,382.88,382.39,3.95
388.02,385.06,383.15,382.88,4.03
376.47,388.02,385.06,383.15,4.31
393.85,376.47,388.02,385.06,3.12
392.15,393.85,376.47,388.02,4.15
384.56,392.15,393.85,376.47,4.57
385.78,384.56,392.15,393.85,3.90
385.92,385.78,384.56,392.15,3.48
387.86,385.92,385.78,384.56,3.12
381.25,387.86,385.92,385.78,3.01
381.45,381.25,387.86,385.92,2.12
392.50,381.45,381.25,387.86,1.48
384.20,392.50,381.45,381.25,2.22
391.32,384.20,392.50,381.45,1.76
392.89,391.32,384.20,392.50,2.19
382.62,392.89,391.32,384.20,2.61
376.14,382.62,392.89,391.32,1.69
375.22,376.14,382.62,392.89,0.30
379.10,375.22,376.14,382.62,-0.78
384.47,379.10,375.22,376.14,-1.07
387.04,384.47,379.10,375.22,-0.65
406.46,387.04,384.47,379.10,-0.06
419.34,406.46,387.04,384.47,2.51
415.10,419.34,406.46,387.04,5.66
418.86,415.10,419.34,406.46,7.22
415.48,418.86,415.10,419.34,8.54
408.78,415.48,418.86,415.10,8.87
411.09,408.78,415.48,418.86,8.13
412.48,411.09,408.78,415.48,7.68
411.43,412.48,411.09,408.78,7.33
412.70,411.43,412.48,411.09,6.79
404.44,412.70,411.43,412.48,6.39
405.84,404.44,412.70,411.43,5.04
411.30,405.84,404.44,412.70,4.13
403.50,411.30,405.84,404.44,4.01
401.55,403.50,411.30,405.84,2.97
404.29,401.55,403.50,411.30,1.95
416.04,404.29,401.55,403.50,1.51
409.02,416.04,404.29,401.55,2.47
412.53,409.02,416.04,404.29,2.29
416.05,412.53,409.02,416.04,2.50
410.09,416.05,412.53,409.02,2.98
414.02,410.09,416.05,412.53,2.57
415.35,414.02,410.09,416.05,2.66
413.48,415.35,414.02,410.09,2.81
409.76,413.48,415.35,414.02,2.63
403.67,409.76,413.48,415.35,2.03
403.45,403.67,409.76,413.48,0.89
411.77,403.45,403.67,409.76,0.05
414.62,411.77,403.45,403.67,0.40
415.62,414.62,411.77,403.45,0.94
411.60,415.62,414.62,411.77,1.41
424.21,411.60,415.62,414.62,1.25
418.88,424.21,411.60,415.62,2.51
419.91,418.88,424.21,411.60,2.72
414.85,419.91,418.88,424.21,2.92
414.84,414.85,419.91,418.88,2.42
417.08,414.84,414.85,419.91,2.02
419.58,417.08,414.84,414.85,1.94
422.93,419.58,417.08,414.84,2.11
414.35,422.93,419.58,417.08,2.55
410.47,414.35,422.93,419.58,1.84
402.66,410.47,414.35,422.93,0.87
411.73,402.66,410.47,414.35,-0.69
